id,name,category,value,memo
1,item_000001,A,100,memo_000001
2,item_000002,B,101,memo_000002
3,item_000003,C,102,memo_000003
4,item_000004,A,103,memo_000004
5,item_000005,B,104,memo_000005
6,item_000006,C,105,memo_000006
7,item_000007,A,106,memo_000007
8,item_000008,B,107,memo_000008
9,item_000009,C,108,memo_000009
10,item_000010,A,109,memo_000010
11,item_000011,B,110,memo_000011
12,item_000012,C,111,memo_000012
13,item_000013,A,112,memo_000013
14,item_000014,B,113,memo_000014
15,item_000015,C,114,memo_000015
16,item_000016,A,115,memo_000016
17,item_000017,B,116,memo_000017
18,item_000018,C,117,memo_000018
19,item_000019,A,118,memo_000019
20,item_000020,B,119,memo_000020
21,item_000021,C,120,memo_000021
22,item_000022,A,121,memo_000022
23,item_000023,B,122,memo_000023
24,item_000024,C,123,memo_000024
25,item_000025,A,124,memo_000025
26,item_000026,B,125,memo_000026
27,item_000027,C,126,memo_000027
28,item_000028,A,127,memo_000028
29,item_000029,B,128,memo_000029
30,item_000030,C,129,memo_000030
31,item_000031,A,130,memo_000031
32,item_000032,B,131,memo_000032
33,item_000033,C,132,memo_000033
34,item_000034,A,133,memo_000034
35,item_000035,B,134,memo_000035
36,item_000036,C,135,memo_000036
37,item_000037,A,136,memo_000037
38,item_000038,B,137,memo_000038
39,item_000039,C,138,memo_000039
40,item_000040,A,139,memo_000040
41,item_000041,B,140,memo_000041
42,item_000042,C,141,memo_000042
43,item_000043,A,142,memo_000043
44,item_000044,B,143,memo_000044
45,item_000045,C,144,memo_000045
46,item_000046,A,145,memo_000046
47,item_000047,B,146,memo_000047
48,item_000048,C,147,memo_000048
49,item_000049,A,148,memo_000049
50,item_000050,B,149,memo_000050
51,item_000051,C,150,memo_000051
52,item_000052,A,151,memo_000052
53,item_000053,B,152,memo_000053
54,item_000054,C,153,memo_000054
55,item_000055,A,154,memo_000055
56,item_000056,B,155,memo_000056
57,item_000057,C,156,memo_000057
58,item_000058,A,157,memo_000058
59,item_000059,B,158,memo_000059
60,item_000060,C,159,memo_000060
61,item_000061,A,160,memo_000061
62,item_000062,B,161,memo_000062
63,item_000063,C,162,memo_000063
64,item_000064,A,163,memo_000064
65,item_000065,B,164,memo_000065
66,item_000066,C,165,memo_000066
67,item_000067,A,166,memo_000067
68,item_000068,B,167,memo_000068
69,item_000069,C,168,memo_000069
70,item_000070,A,169,memo_000070
71,item_000071,B,170,memo_000071
72,item_000072,C,171,memo_000072
73,item_000073,A,172,memo_000073
74,item_000074,B,173,memo_000074
75,item_000075,C,174,memo_000075
76,item_000076,A,175,memo_000076
77,item_000077,B,176,memo_000077
78,item_000078,C,177,memo_000078
79,item_000079,A,178,memo_000079
80,item_000080,B,179,memo_000080
81,item_000081,C,180,memo_000081
82,item_000082,A,181,memo_000082
83,item_000083,B,182,memo_000083
84,item_000084,C,183,memo_000084
85,item_000085,A,184,memo_000085
86,item_000086,B,185,memo_000086
87,item_000087,C,186,memo_000087
88,item_000088,A,187,memo_000088
89,item_000089,B,188,memo_000089
90,item_000090,C,189,memo_000090
91,item_000091,A,190,memo_000091
92,item_000092,B,191,memo_000092
93,item_000093,C,192,memo_000093
94,item_000094,A,193,memo_000094
95,item_000095,B,194,memo_000095
96,item_000096,C,195,memo_000096
97,item_000097,A,196,memo_000097
98,item_000098,B,197,memo_000098
99,item_000099,C,198,memo_000099
100,item_000100,A,199,memo_000100
101,item_000101,B,200,memo_000101
102,item_000102,C,201,memo_000102
103,item_000103,A,202,memo_000103
104,item_000104,B,203,memo_000104
105,item_000105,C,204,memo_000105
106,item_000106,A,205,memo_000106
107,item_000107,B,206,memo_000107
108,item_000108,C,207,memo_000108
109,item_000109,A,208,memo_000109
110,item_000110,B,209,memo_000110
111,item_000111,C,210,memo_000111
112,item_000112,A,211,memo_000112
113,item_000113,B,212,memo_000113
114,item_000114,C,213,memo_000114
115,item_000115,A,214,memo_000115
116,item_000116,B,215,memo_000116
117,item_000117,C,216,memo_000117
118,item_000118,A,217,memo_000118
119,item_000119,B,218,memo_000119
120,item_000120,C,219,memo_000120
121,item_000121,A,220,memo_000121
122,item_000122,B,221,memo_000122
123,item_000123,C,222,memo_000123
124,item_000124,A,223,memo_000124
125,item_000125,B,224,memo_000125
126,item_000126,C,225,memo_000126
127,item_000127,A,226,memo_000127
128,item_000128,B,227,memo_000128
129,item_000129,C,228,memo_000129
130,item_000130,A,229,memo_000130
131,item_000131,B,230,memo_000131
132,item_000132,C,231,memo_000132
133,item_000133,A,232,memo_000133
134,item_000134,B,233,memo_000134
135,item_000135,C,234,memo_000135
136,item_000136,A,235,memo_000136
137,item_000137,B,236,memo_000137
138,item_000138,C,237,memo_000138
139,item_000139,A,238,memo_000139
140,item_000140,B,239,memo_000140
141,item_000141,C,240,memo_000141
142,item_000142,A,241,memo_000142
143,item_000143,B,242,memo_000143
144,item_000144,C,243,memo_000144
145,item_000145,A,244,memo_000145
146,item_000146,B,245,memo_000146
147,item_000147,C,246,memo_000147
148,item_000148,A,247,memo_000148
149,item_000149,B,248,memo_000149
150,item_000150,C,249,memo_000150
151,item_000151,A,250,memo_000151
152,item_000152,B,251,memo_000152
153,item_000153,C,252,memo_000153
154,item_000154,A,253,memo_000154
155,item_000155,B,254,memo_000155
156,item_000156,C,255,memo_000156
157,item_000157,A,256,memo_000157
158,item_000158,B,257,memo_000158
159,item_000159,C,258,memo_000159
160,item_000160,A,259,memo_000160
161,item_000161,B,260,memo_000161
162,item_000162,C,261,memo_000162
163,item_000163,A,262,memo_000163
164,item_000164,B,263,memo_000164
165,item_000165,C,264,memo_000165
166,item_000166,A,265,memo_000166
167,item_000167,B,266,memo_000167
168,item_000168,C,267,memo_000168
169,item_000169,A,268,memo_000169
170,item_000170,B,269,memo_000170
171,item_000171,C,270,memo_000171
172,item_000172,A,271,memo_000172
173,item_000173,B,272,memo_000173
174,item_000174,C,273,memo_000174
175,item_000175,A,274,memo_000175
176,item_000176,B,275,memo_000176
177,item_000177,C,276,memo_000177
178,item_000178,A,277,memo_000178
179,item_000179,B,278,memo_000179
180,item_000180,C,279,memo_000180
181,item_000181,A,280,memo_000181
182,item_000182,B,281,memo_000182
183,item_000183,C,282,memo_000183
184,item_000184,A,283,memo_000184
185,item_000185,B,284,memo_000185
186,item_000186,C,285,memo_000186
187,item_000187,A,286,memo_000187
188,item_000188,B,287,memo_000188
189,item_000189,C,288,memo_000189
190,item_000190,A,289,memo_000190
191,item_000191,B,290,memo_000191
192,item_000192,C,291,memo_000192
193,item_000193,A,292,memo_000193
194,item_000194,B,293,memo_000194
195,item_000195,C,294,memo_000195
196,item_000196,A,295,memo_000196
197,item_000197,B,296,memo_000197
198,item_000198,C,297,memo_000198
